Date,Price,Open,High,Low,Volume,Chg%
"Aug 04, 2020",11095.25,10946.65,11112.25,10908.1,625.74B,1.87%
"Aug 03, 2020",10891.6,11057.55,11058.05,10882.25,680.93B,-1.64%
"Jul 31, 2020",11073.45,11139.5,11150.4,11026.65,642.56B,-0.26%
"Jul 30, 2020",11102.15,11254.3,11299.95,11084.95,677.76B,-0.90%
"Jul 29, 2020",11202.85,11276.9,11341.4,11149.75,600.73B,-0.86%
"Jul 28, 2020",11300.55,11154.1,11317.75,11151.4,683.89B,1.52%
"Jul 27, 2020",11131.8,11225,11225,11087.85,588.15B,-0.56%
"Jul 24, 2020",11194.15,11149.95,11225.4,11090.3,678.94B,-0.19%
"Jul 23, 2020",11215.45,11135,11239.8,11103.15,621.58B,0.74%
"Jul 22, 2020",11132.6,11231.2,11238.1,11056.55,765.07B,-0.27%
"Jul 21, 2020",11162.25,11126.1,11179.55,11113.25,772.00B,1.27%
"Jul 20, 2020",11022.2,10999.45,11037.9,10953,554.31B,1.11%
"Jul 17, 2020",10901.7,10752,10933.45,10749.65,676.88B,1.51%
"Jul 16, 2020",10739.95,10706.2,10755.3,10595.2,694.40B,1.15%
"Jul 15, 2020",10618.2,10701,10827.45,10577.75,715.90B,0.10%
"Jul 14, 2020",10607.35,10750.85,10755.65,10562.9,532.37B,-1.81%
"Jul 13, 2020",10802.7,10851.85,10894.05,10756.05,554.05B,0.32%
"Jul 10, 2020",10768.05,10764.1,10819.4,10713,590.71B,-0.42%
"Jul 09, 2020",10813.45,10755.55,10836.85,10733,618.65B,1.01%
"Jul 08, 2020",10705.75,10818.65,10847.85,10676.55,767.94B,-0.87%
"Jul 07, 2020",10799.65,10802.85,10813.8,10689.7,636.77B,0.33%
"Jul 06, 2020",10763.65,10723.85,10811.4,10695.1,571.21B,1.47%
"Jul 03, 2020",10607.35,10614.95,10631.3,10562.65,525.19B,0.53%
"Jul 02, 2020",10551.7,10493.05,10598.2,10485.55,597.42B,1.17%
"Jul 01, 2020",10430.05,10323.8,10447.05,10299.6,573.55B,1.24%
"Jun 30, 2020",10302.1,10382.6,10401.05,10267.35,556.24B,-0.10%
"Jun 29, 2020",10312.4,10311.95,10337.95,10223.6,574.54B,-0.68%
"Jun 26, 2020",10383,10378.9,10409.85,10311.25,671.91B,0.91%
"Jun 25, 2020",10288.9,10235.55,10361.8,10194.5,994.19B,-0.16%
"Jun 24, 2020",10305.3,10529.25,10553.15,10281.95,854.80B,-1.58%
"Jun 23, 2020",10471,10347.95,10484.7,10301.75,669.19B,1.55%
"Jun 22, 2020",10311.2,10318.75,10393.65,10277.6,685.38B,0.65%
"Jun 19, 2020",10244.4,10119,10272.4,10072.65,892.10B,1.51%
"Jun 18, 2020",10091.65,9863.25,10111.2,9845.05,622.90B,2.13%
"Jun 17, 2020",9881.15,9876.7,10003.6,9833.8,685.42B,-0.33%
"Jun 16, 2020",9914,10014.8,10046.15,9728.5,899.90B,1.02%
"Jun 15, 2020",9813.7,9919.35,9943.35,9726.35,716.05B,-1.60%
"Jun 12, 2020",9972.9,9544.95,9996.05,9544.35,796.31B,0.72%
"Jun 11, 2020",9902,10094.1,10112.05,9885.05,715.45B,-2.12%
"Jun 10, 2020",10116.15,10072.6,10148.75,10036.85,632.38B,0.69%
"Jun 09, 2020",10046.65,10181.15,10291.15,10021.45,754.22B,-1.19%
"Jun 08, 2020",10167.45,10326.75,10328.5,10120.25,936.49B,0.25%
"Jun 05, 2020",10142.15,10093.8,10177.8,10040.75,987.12B,1.13%
"Jun 04, 2020",10029.1,10054.25,10123.85,9944.25,775.11B,-0.32%
"Jun 03, 2020",10061.55,10108.3,10176.2,10035.55,794.66B,0.83%
"Jun 02, 2020",9979.1,9880.85,9995.6,9824.05,770.19B,1.56%
"Jun 01, 2020",9826.15,9726.85,9931.6,9706.95,794.18B,2.57%
"May 29, 2020",9580.3,9422.2,9598.85,9376.9,967.00B,0.95%
"May 28, 2020",9490.1,9364.95,9511.25,9336.5,837.91B,1.88%
"May 27, 2020",9314.95,9082.2,9334,9004.25,763.49B,3.17%
"May 26, 2020",9029.05,9099.75,9161.65,8996.65,654.96B,-0.11%
"May 22, 2020",9039.25,9067.9,9149.6,8968.55,675.76B,-0.74%
"May 21, 2020",9106.25,9079.45,9178.55,9056.1,631.54B,0.44%
"May 20, 2020",9066.55,8889.15,9093.8,8875.35,622.31B,2.11%
"May 19, 2020",8879.1,8961.7,9030.35,8855.3,762.15B,0.63%
"May 18, 2020",8823.25,9158.3,9158.3,8806.75,772.98B,-3.43%
"May 15, 2020",9136.85,9182.4,9182.4,9050,575.86B,-0.06%
"May 14, 2020",9142.75,9213.95,9281.1,9119.75,602.56B,-2.57%
"May 13, 2020",9383.55,9584.2,9584.5,9351.1,846.40B,2.03%
"May 12, 2020",9196.55,9168.85,9240.85,9043.95,805.46B,-0.46%
"May 11, 2020",9239.2,9348.15,9439.9,9219.95,704.65B,-0.13%
"May 08, 2020",9251.5,9376.95,9382.65,9238.2,609.05B,0.57%
"May 07, 2020",9199.05,9234.05,9277.85,9175.9,708.74B,-0.78%
"May 06, 2020",9270.9,9226.8,9346.9,9116.5,722.19B,0.71%
"May 05, 2020",9205.6,9429.4,9450.9,9190.75,725.20B,-0.95%
"May 04, 2020",9293.5,9533.5,9533.5,9266.95,687.49B,-5.74%
"Apr 30, 2020",9859.9,9753.5,9889.05,9731.5,931.17B,3.21%
"Apr 29, 2020",9553.35,9408.6,9599.85,9392.35,653.03B,1.84%
"Apr 28, 2020",9380.9,9389.8,9404.4,9260,614.55B,1.06%
"Apr 27, 2020",9282.3,9259.7,9377.1,9250.35,512.79B,1.40%
"Apr 24, 2020",9154.4,9163.9,9296.9,9141.3,659.44B,-1.71%
"Apr 23, 2020",9313.9,9232.35,9343.6,9170.15,666.65B,1.38%
"Apr 22, 2020",9187.3,9026.75,9209.75,8946.25,734.38B,2.29%
"Apr 21, 2020",8981.45,9016.95,9044.4,8909.4,655.12B,-3.03%
"Apr 20, 2020",9261.85,9390.2,9390.85,9230.8,726.36B,-0.05%
"Apr 17, 2020",9266.75,9323.45,9324,9091.35,684.21B,3.05%
"Apr 16, 2020",8992.8,8851.25,9053.75,8821.9,719.44B,0.76%
"Apr 15, 2020",8925.3,9196.4,9261.2,8874.1,879.15B,-0.76%
"Apr 13, 2020",8993.85,9103.95,9112.05,8912.4,643.97B,-1.30%
"Apr 09, 2020",9111.9,8973.05,9128.35,8904.55,742.14B,4.15%
"Apr 08, 2020",8748.75,8688.9,9131.7,8653.9,896.53B,-0.49%
"Apr 07, 2020",8792.2,8446.3,8819.4,8360.95,814.18B,8.76%
"Apr 03, 2020",8083.8,8356.55,8356.55,8055.8,697.03B,-2.06%
"Apr 01, 2020",8253.8,8584.1,8588.1,8198.35,506.34B,-4.00%
"Mar 31, 2020",8597.75,8529.35,8678.3,8358,712.66B,3.82%
"Mar 30, 2020",8281.1,8385.95,8576,8244,593.25B,-4.38%
"Mar 27, 2020",8660.25,8949.1,9038.9,8522.9,801.45B,0.22%
"Mar 26, 2020",8641.45,8451,8749.05,8304.9,865.59B,3.89%
"Mar 25, 2020",8317.85,7735.15,8376.75,7714.75,736.87B,6.62%
"Mar 24, 2020",7801.05,7848.3,8036.95,7511.1,738.42B,2.51%
"Mar 23, 2020",7610.25,7945.7,8159.25,7583.6,653.54B,-12.98%
"Mar 20, 2020",8745.45,8284.45,8883,8178.2,"1,071.52B",5.83%
